id,name
1,General Health
2,Preventive Care
3,Nutrition and Diet
4,Healthy Lifestyle
5,Mental Health
6,Stress Management
7,Sleep Health
8,Exercise and Fitness
9,Weight Management
10,Hydration
11,Women's Health
12,Men's Health
13,Child Health
14,Teen Health
15,Elderly Health
16,Maternal Health
17,Pregnancy Care
18,Baby Care
19,Immunization
20,Family Planning
21,Sexual Health
22,Reproductive Health
23,Heart Health
24,Hypertension
25,Diabetes
26,Cholesterol Management
27,Obesity
28,Cancer Awareness
29,Breast Cancer
30,Cervical Cancer
31,Prostate Cancer
32,Lung Diseases
33,Asthma
34,Tuberculosis
35,COVID-19
36,Infectious Diseases
37,Viral Infections
38,Bacterial Infections
39,Allergies
40,Skin Health
41,Acne Treatment
42,Eczema
43,Dermatology
44,Eye Health
45,Dental Health
46,Oral Hygiene
47,Ear Nose and Throat (ENT)
48,Digestive Health
49,Liver Health
50,Kidney Health
51,Bone Health
52,Joint Health
53,Arthritis
54,Neurology
55,Brain Health
56,Stroke Prevention
57,Headaches and Migraine
58,Hormonal Health
59,Thyroid Disorders
60,Autoimmune Diseases
61,Genetic Disorders
62,Rare Diseases
63,Pain Management
64,First Aid
65,Emergency Care
66,Medication Safety
67,Antibiotic Awareness
68,Health Screening
69,Laboratory Tests
70,Medical Procedures
71,Surgery Preparation
72,Post-Surgery Care
73,Rehabilitation
74,Physical Therapy
75,Occupational Health
76,Public Health
77,Environmental Health
78,Travel Health
79,Health Technology
80,Telemedicine
